@relation 'completeData-weka.filters.unsupervised.attribute.Remove-R1-2,4-9,12-14,16,18,20,22,24-68,70-71-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.NumericToNominal-Rlast'

@attribute mway_dist numeric
@attribute police_dis numeric
@attribute income numeric
@attribute density numeric
@attribute age numeric
@attribute unp_rate numeric
@attribute com_dens numeric
@attribute n_freq_attack {0,1}

@data
1703.230033,179.203415,40,12.1719,45,16,18,0
2293.127247,981.189076,50,0.1282,36,8,47,0
2943.820823,102.963299,60,27.0824,45,7,37,0
625.407299,551.685767,44,19.6764,48,13,9,0
2293.127247,981.189076,50,0.1282,36,8,47,0
723.041603,407.387599,44,24.1571,30,15,18,0
1234.269627,443.734143,64,28.5203,42,5,9,0
2939.661625,365.224278,56,1.505,47,9,9,0
2939.661625,365.224278,56,1.505,47,9,9,0
1697.093983,445.177365,28,0.0207,47,17,9,0
1157.85955,515.683996,64,1.4131,45,4,9,0
1728.444754,242.85401,38,0,31,13,9,0
2162.116232,240.366356,50,4.5215,55,8,56,0
1856.860219,1149.992088,56,12.9273,37,6,9,0
1154.016248,600.824698,48,7.7402,33,10,9,0
2390.813144,252.905743,58,16.5388,53,4,18,0
2069.442947,608.967256,64,0,54,5,37,0
1969.686545,314.381321,56,16.7061,43,3,18,0
3557.161068,674.748294,26,24.4278,54,19,18,0
2245.590501,523.903001,50,8.8114,53,8,28,0
2994.276406,155.031475,48,0.3414,56,14,56,0
2939.661625,365.224278,56,1.505,47,9,9,0
305.842985,252.060089,50,0,35,8,9,0
1873.258418,272.153071,62,1.4881,46,2,18,0
1157.85955,515.683996,64,1.4131,45,4,9,0
2285.661054,536.024463,56,1.3903,54,8,28,0
1300.859543,902.055539,48,16.5496,28,9,9,0
2939.661625,365.224278,56,1.505,47,9,9,0
1625.903571,443.413263,42,13.4026,52,14,18,0
1243.434633,833.898768,34,20.9547,52,14,9,0
2598.431136,569.71818,70,14.1757,45,2,18,0
1486.755725,983.517371,50,31.7376,41,13,9,0
2943.820823,102.963299,60,27.0824,45,7,37,0
1843.722696,458.509749,72,7.804,43,2,9,0
2593.319773,58.680316,56,14.761,52,5,18,0
3462.1439,313.332532,46,25.7134,55,13,18,0
1728.444754,242.85401,38,0,31,13,9,0
858.660443,743.747245,40,33.4258,36,8,18,0
3557.161068,674.748294,26,24.4278,54,19,18,0
2390.813144,252.905743,58,16.5388,53,4,18,0
2293.127247,981.189076,50,0.1282,36,8,47,0
924.708498,591.773793,30,0,33,20,9,0
2069.442947,608.967256,64,0,54,5,37,0
1027.018292,717.258003,60,14.1078,35,7,37,0
1843.722696,458.509749,72,7.804,43,2,9,0
1819.264533,305.214682,30,4.6854,46,17,9,0
1086.38755,751.485088,52,25.9323,32,8,18,0
1455.127978,343.674677,52,15.7622,40,4,18,0
2293.127247,981.189076,50,0.1282,36,8,47,0
1299.222176,742.188372,46,13.316,25,8,9,0
437.314142,247.798054,48,12.0328,25,7,9,0
2470.217798,494.729788,58,2.743,52,6,18,0
2069.442947,608.967256,64,0,54,5,37,0
2815.60893,227.430212,42,28.5502,47,12,37,0
1805.412766,495.586437,28,0,47,17,9,0
1468.976692,342.106009,48,13.3373,43,7,9,0
1762.392529,498.719747,44,0,52,16,9,0
1572.328353,655.124105,54,12.3343,42,4,18,0
2962.813852,38.932045,46,9.8431,45,9,47,0
811.54266,494.461705,36,0.4251,32,14,9,0
2336.892526,657.136677,64,15.4605,44,2,37,0
1154.016248,600.824698,48,7.7402,33,10,9,0
2943.820823,102.963299,60,27.0824,45,7,37,0
774.600965,106.273313,24,12.6354,26,19,9,0
2915.139554,705.794909,36,0,55,18,9,0
625.407299,551.685767,44,19.6764,48,13,9,0
2915.139554,705.794909,36,0,55,18,9,0
723.041603,407.387599,44,24.1571,30,15,18,0
2013.16371,413.07168,54,5.6835,48,8,28,0
2069.442947,608.967256,64,0,54,5,37,0
1954.418802,378.967479,52,9.217,47,5,18,0
1516.462712,322.251094,54,11.0762,52,5,18,0
1819.264533,305.214682,30,4.6854,46,17,9,0
1856.860219,1149.992088,56,12.9273,37,6,9,0
830.484366,763.500432,42,32.3167,45,10,18,0
1299.222176,742.188372,46,13.316,25,8,9,0
1061.6308,345.09008,48,19.6561,33,9,28,0
1158.604216,153.58753,36,2.1431,49,16,18,0
1587.509422,925.027098,52,19.6432,27,8,18,0
1954.418802,378.967479,52,9.217,47,5,18,0
2331.225795,545.201494,50,8.0947,53,8,28,0
1905.806417,181.561002,40,12.7676,48,12,18,0
2716.926474,174.391676,38,12.393,45,11,18,0
1451.287056,345.289101,32,12.378,51,14,18,0
2293.127247,981.189076,50,0.1282,36,8,47,0
1022.706527,292.416925,34,20.1043,34,13,9,0
1490.655987,724.380685,42,9.0924,48,16,18,0
1290.686418,357.183597,48,8.7969,54,12,28,0
2502.840234,591.341802,48,14.1757,38,7,18,0
4720.371119,84.787098,38,12.2856,63,16,9,0
1005.35394,563.725447,44,33.6238,40,10,37,0
1778.305785,260.849131,70,6.4077,52,3,18,0
702.972169,896.84288,62,0,39,2,9,0
4207.081872,1551.370727,28,3.1132,51,16,9,0
2239.480035,226.955769,62,1.4332,38,4,9,0
2069.442947,608.967256,64,0,54,5,37,0
1728.899,669.893989,66,23.8172,43,3,18,0
1383.117299,696.53865,30,25.853,26,17,9,0
1234.269627,443.734143,64,28.5203,42,5,9,0
599.38678,501.757963,30,13.7788,50,17,18,0
343.362698,522.283694,44,5.2111,30,12,9,0
1490.655987,724.380685,42,9.0924,48,16,18,0
2939.661625,365.224278,56,1.505,47,9,9,0
1843.722696,458.509749,72,7.804,43,2,9,0
1270.536719,982.815621,40,3.3279,54,14,9,0
2541.51676,260.919509,64,1.247,51,6,18,0
2462.443471,140.420204,30,0.9638,64,21,18,0
2218.506296,107.090371,54,12.9924,53,9,28,0
2104.766829,574.232965,70,16.2015,39,2,37,0
803.872584,1050.238534,46,23.9068,29,10,9,0
4204.276535,201.632449,34,14.3425,63,14,18,0
1211.524864,541.5378,58,14.1067,27,9,18,0
2993.842936,229.653847,32,18.0475,55,15,47,0
1843.722696,458.509749,72,7.804,43,2,9,0
2095.254178,50.902543,44,8.3672,44,14,9,0
2546.265304,431.342571,52,0,50,8,18,0
957.480511,297.688618,38,0.0832,34,12,9,0
1761.526004,339.927432,48,5.7806,51,14,18,0
2156.711926,399.983571,60,1.3903,45,6,18,0
702.972169,896.84288,62,0,39,2,9,0
2939.661625,365.224278,56,1.505,47,9,9,0
860.210604,135.648181,36,2.5577,35,8,9,0
1671.776909,856.445343,36,26.699,41,12,18,0
2939.661625,365.224278,56,1.505,47,9,9,0
1745.348394,151.786526,52,8.9666,45,8,18,0
787.267296,438.761914,44,33.645,31,9,28,0
1490.655987,724.380685,42,9.0924,48,16,18,0
2939.661625,365.224278,56,1.505,47,9,9,0
1651.11677,444.220413,46,6.5439,55,14,18,0
3912.081289,521.38061,36,16.2437,60,16,28,0
3122.805044,420.849655,26,0,56,17,18,0
4333.167746,1261.704342,32,6.6454,54,18,9,0
765.838055,831.463581,64,7.9596,45,2,65,0
1562.12785,168.698592,64,0,44,3,9,0
994.312444,317.297304,34,20.1043,34,13,9,0
1938.923416,245.78883,42,2.411,63,17,18,0
2095.254178,50.902543,44,8.3672,44,14,9,0
1259.99693,494.743763,40,0,55,17,9,0
3102.621459,319.942291,42,27.216,51,11,28,0
1443.490218,454.681321,70,19.4259,41,3,9,0
3377.470293,64.651699,40,0,62,15,65,0
2939.661625,365.224278,56,1.505,47,9,9,0
2042.106552,476.810035,26,16.6827,47,22,9,0
1174.746261,771.670349,44,0.2558,27,13,9,0
1626.883171,916.370631,52,19.6432,27,8,18,0
2593.542642,796.15265,26,0.0339,51,20,9,0
1135.544371,62.146066,52,4.8929,35,7,28,0
399.943857,156.783584,34,20.9353,27,17,18,0
689.814275,494.158943,30,14.6857,27,16,9,0
3235.680631,143.785302,26,2.8798,63,17,56,0
2033.377214,158.014277,58,5.3141,39,7,18,0
2959.613869,44.070548,46,9.8431,45,9,47,0
2186.612913,174.322617,50,4.5215,55,8,56,0
3379.11478,526.15792,46,10.4425,51,7,28,0
2939.661625,365.224278,56,1.505,47,9,9,0
1843.722696,458.509749,72,7.804,43,2,9,0
343.362698,522.283694,44,5.2111,30,12,9,0
1412.191223,467.427222,42,13.6373,55,13,18,0
4846.031177,289.488051,40,0.0204,55,12,9,0
2993.842936,229.653847,32,18.0475,55,15,47,0
2965.571757,352.640402,34,25.4742,55,13,9,0
2069.442947,608.967256,64,0,54,5,37,0
2091.519174,378.39542,36,0.2231,41,16,9,0
803.872584,1050.238534,46,23.9068,29,10,9,0
2939.661625,365.224278,56,1.505,47,9,9,0
3139.811849,2.608502,34,1.2983,55,17,65,0
2691.198123,1634.150189,66,11.5886,36,2,9,0
1154.016248,600.824698,48,7.7402,33,10,9,0
