address,bank,atm_id,coord_x,coord_y,freguesia,parish,mway_dist,police_dis,income,density,age,unp_rate,com_dens,freq_attack,success_attack,n_income,n_density,n_age,n_unp_rate,n_com_dens,n_freq_attack
Estrada Benfica 503 - 2 Lisbon,CAIXA CENTRAL DE CREDITO AGRICOLA MUTUO,CCCAM06,-9.19071,38.74901,Carnide,10,471.5693875,735.9559709,40,7.6254,42,12,28,1,1,4,2,3,3,4,1
Estrada De Benfica Lisbon,CAIXA CENTRAL DE CREDITO AGRICOLA MUTUO,CCCAM07,-9.20649,38.75268,Benfica,7,623.7675915,1004.549341,34,23.572,41,11,18,1,1,3,3,3,3,2,1
Avenida Das Forcas Armadas Lisbon,CAIXA GERAL DE DEPOSITOS,CGD03,-9.15995,38.7459,Avenidas Novas,5,480.9065745,805.0904344,36,0,52,17,9,1,1,3,1,4,4,2,1
Avenida Lusiada Lisbon,CAIXA GERAL DE DEPOSITOS,CGD23,-9.18017,38.75002,Carnide,10,676.2423043,851.8163703,60,4.0355,30,7,18,1,1,6,1,1,2,2,1
Campo Grande 380-B Lisbon,CAIXA GERAL DE DEPOSITOS,CGD34,-9.15345,38.75854,Lumiar,12,539.3719405,1003.951322,52,4.3246,38,8,9,1,1,5,1,2,2,2,1
Rua D Aeroporto Lisboa Lisbon,CAIXA GERAL DE DEPOSITOS,CGD60,-9.1296,38.76306,Olivais,15,3.128901711,824.8050833,58,0.5846,44,3,9,1,0,6,1,3,1,1,1
Avenida Das Forcas Armadas Lisbon,CAIXA GERAL DE DEPOSITOS,CGD70,-9.15995,38.7459,Avenidas Novas,5,480.9065745,805.0904344,36,0,52,17,9,1,1,3,1,4,4,2,1
Rua a Do Loteamento Alto Dos Moinhos Lote 4 Lisbon,CAIXA GERAL DE DEPOSITOS,CGD77,-9.18009,38.74716,Carnide,10,855.0354049,1093.593395,46,15.3719,29,10,9,1,1,4,2,1,3,2,1
Avenida Lusiada Lisbon,CAIXA GERAL DE DEPOSITOS,CGD93,-9.18017,38.75002,Carnide,10,676.2423043,851.8163703,60,4.0355,30,7,18,1,1,6,1,1,2,2,1
Rua Virgilio Correia 3 A-C Lisbon,BANCO COMERCIAL PORTUGUES,CP02,-9.17245,38.75116,Carnide,10,709.0702721,1378.57943,52,33.1587,34,9,18,1,1,5,4,2,2,2,1
R. Duarte Pacheco Pereira 30D Lisbon,BANCO COMERCIAL PORTUGUES,CP15,-9.2182,38.69839,Belém,6,779.912056,1043.974683,26,1.7239,54,18,9,1,1,2,1,4,4,2,1
Rua Padre Francisco Alvares 1a Lisbon,BANCO COMERCIAL PORTUGUES,CP18,-9.17461,38.74335,Campolide,9,754.8705547,1071.96336,44,28.4848,27,9,18,1,1,4,4,1,2,2,1
Rua Padre Francisco Alvares 1a Lisbon,BANCO COMERCIAL PORTUGUES,CP23,-9.17461,38.74335,Campolide,9,754.8705547,1071.96336,44,28.4848,27,9,18,1,1,4,4,1,2,2,1
R. Duarte Pacheco Pereira 30D Lisbon,BANCO COMERCIAL PORTUGUES,CP74,-9.2182,38.69839,Belém,6,779.912056,1043.974683,26,1.7239,54,18,9,1,0,2,1,4,4,2,1
Estrada De Benfica 420 Lisbon,BANCO COMERCIAL PORTUGUES,CP87,-9.18415,38.74655,Carnide,10,701.6117909,995.9595518,52,26.8861,28,12,9,1,1,5,4,1,3,2,1
Rua Soeiro Pereira Gomes Lote 2 Lisbon,BANCO COMERCIAL PORTUGUES,CP93,-9.15928,38.74414,Avenidas Novas,5,497.0839224,601.3635399,34,19.1656,53,13,9,1,1,3,3,4,3,2,1
Avenida Jose Malhoa Lote 1792 Lisbon,BANCO INTERNACIONAL DO FUNCHAL,IF11,-9.16402,38.73728,Avenidas Novas,5,620.8094637,641.0375626,36,1.0968,25,12,18,1,1,3,1,1,3,2,1
Estrada De Benfica 165-A Lisbon,MONTEPIO GERAL,MG38,-9.18781,38.747,Carnide,10,595.1609215,903.6555739,44,27.1257,33,13,18,1,1,4,4,2,3,2,1
Estrada Benfica 158 Lisbon,MONTEPIO GERAL,MG41,-9.18781,38.747,Carnide,10,595.1609215,903.6555739,44,27.1257,33,13,18,1,0,4,4,2,3,2,1
