Feature,Mean |SHAP|,Rank
Motorway dist.,0.23142986748974606,1
Police dist.,0.17005532048145197,2
Age,0.03644208698619772,3
Commercial density,0.02975697693534802,4
Income,0.021642647746212704,5
Pop. density,0.01680104203517488,6
Unemployment rate,0.015097761486665615,7
