@relation 'completeData-weka.filters.unsupervised.attribute.Remove-R1-2,4-9,12-14,16,18,20,22,24-68,70-71-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.NumericToNominal-Rlast-weka.filters.unsupervised.attribute.Remove-R3-7'

@attribute mway_dist numeric
@attribute police_dis numeric
@attribute n_freq_attack {0,1}

@data
195.35344,898.569719,1
190.831787,568.679321,1
766.671635,1432.302696,1
192.282794,1143.736479,1
719.79877,1371.942724,1
601.598398,1245.62094,1
307.263969,861.071471,1
228.669386,875.52212,1
382.420058,1000.022511,1
479.892094,1367.563598,1
344.029237,687.161656,1
383.844142,1026.279016,1
321.959018,711.724386,1
595.160921,903.655574,1
724.470391,1292.056182,1
410.482157,702.12904,1
679.196344,976.782633,1
418.698331,861.365771,1
307.263969,861.071471,1
521.551411,1417.097396,1
640.774376,932.495412,1
521.551411,1417.097396,1
589.259456,675.142108,1
676.242304,851.81637,1
573.972532,694.236804,1
676.242304,851.81637,1
691.513181,928.835183,1
488.686225,516.169356,1
488.686225,516.169356,1
573.972532,694.236804,1
521.551411,1417.097396,1
471.569387,735.955971,1
623.767591,1004.549341,1
480.906574,805.090434,1
676.242304,851.81637,1
539.37194,1003.951322,1
3.128902,824.805083,1
480.906574,805.090434,1
855.035405,1093.593395,1
676.242304,851.81637,1
709.070272,1378.57943,1
779.912056,1043.974683,1
754.870555,1071.96336,1
754.870555,1071.96336,1
779.912056,1043.974683,1
701.611791,995.959552,1
497.083922,601.36354,1
620.809464,641.037563,1
595.160921,903.655574,1
595.160921,903.655574,1
529.634092,787.55407,1
534.431735,1040.164948,1
532.578869,867.187744,1
724.470391,1292.056182,1
550.331568,853.58382,1
476.392265,1087.990611,1
587.162717,671.547121,1
690.272278,1071.323868,1
690.272278,1071.323868,1
676.242304,851.81637,1
690.272278,1071.323868,1
602.455118,860.686716,1
550.331568,853.58382,1
464.38153,542.979667,1
724.470391,1292.056182,1
573.513875,1378.473723,1
573.513875,1378.473723,1
676.242304,851.81637,1
455.035152,930.656398,1
640.774376,932.495412,1
595.160921,903.655574,1
691.673231,857.743981,1
676.242304,851.81637,1
808.486545,1379.217399,1
550.331568,853.58382,1
924.801579,1209.853575,1
640.774376,932.495412,1
14.259697,852.822067,1
646.95992,1101.61952,1
724.470391,1292.056182,1
776.708369,1073.126316,1
924.801579,1209.853575,1
452.658926,979.390929,1
630.124694,1287.586266,1
405.830976,550.797358,0
2668.503286,732.929196,0
1232.487688,957.410368,0
1262.262547,851.958984,0
1978.321417,504.032029,0
2065.903205,353.281293,0
2338.197736,698.305732,0
1104.053129,503.767032,0
1141.367986,362.394695,0
2122.833185,152.337891,0
707.474604,694.281536,0
2218.506296,107.090371,0
160.548983,152.839757,0
1745.242499,441.38423,0
2293.127247,981.189076,0
1016.86484,657.032022,0
2114.734366,461.465108,0
160.548983,152.839757,0
1496.138891,416.930945,0
1120.655794,406.781042,0
1842.102112,671.579191,0
1052.907006,657.724025,0
2293.127247,981.189076,0
1720.549959,344.088172,0
2084.73251,122.361627,0
1496.138891,416.930945,0
926.580755,267.335812,0
703.159575,102.022108,0
2196.549493,246.360298,0
1233.199547,839.453359,0
2815.60893,227.430212,0
2943.820823,102.963299,0
1323.484871,667.971279,0
1158.604216,153.58753,0
1703.230033,179.203415,0
2293.127247,981.189076,0
2943.820823,102.963299,0
625.407299,551.685767,0
2293.127247,981.189076,0
723.041603,407.387599,0
1234.269627,443.734143,0
2939.661625,365.224278,0
2939.661625,365.224278,0
1697.093983,445.177365,0
1157.85955,515.683996,0
1728.444754,242.85401,0
2162.116232,240.366356,0
1856.860219,1149.992088,0
1154.016248,600.824698,0
2390.813144,252.905743,0
2069.442947,608.967256,0
1969.686545,314.381321,0
3557.161068,674.748294,0
2245.590501,523.903001,0
2994.276406,155.031475,0
2939.661625,365.224278,0
305.842985,252.060089,0
1873.258418,272.153071,0
1157.85955,515.683996,0
2285.661054,536.024463,0
1300.859543,902.055539,0
2939.661625,365.224278,0
1625.903571,443.413263,0
1243.434633,833.898768,0
2598.431136,569.71818,0
1486.755725,983.517371,0
2943.820823,102.963299,0
1843.722696,458.509749,0
2593.319773,58.680316,0
3462.1439,313.332532,0
1728.444754,242.85401,0
858.660443,743.747245,0
3557.161068,674.748294,0
2390.813144,252.905743,0
2293.127247,981.189076,0
924.708498,591.773793,0
2069.442947,608.967256,0
1027.018292,717.258003,0
1843.722696,458.509749,0
1819.264533,305.214682,0
1086.38755,751.485088,0
1455.127978,343.674677,0
2293.127247,981.189076,0
1299.222176,742.188372,0
437.314142,247.798054,0
2470.217798,494.729788,0
2069.442947,608.967256,0
2815.60893,227.430212,0
1805.412766,495.586437,0
1468.976692,342.106009,0
1762.392529,498.719747,0
1572.328353,655.124105,0
2962.813852,38.932045,0
811.54266,494.461705,0
2336.892526,657.136677,0
1154.016248,600.824698,0
2943.820823,102.963299,0
774.600965,106.273313,0
2915.139554,705.794909,0
625.407299,551.685767,0
2915.139554,705.794909,0
723.041603,407.387599,0
2013.16371,413.07168,0
2069.442947,608.967256,0
1954.418802,378.967479,0
1516.462712,322.251094,0
1819.264533,305.214682,0
1856.860219,1149.992088,0
830.484366,763.500432,0
1299.222176,742.188372,0
1061.6308,345.09008,0
1158.604216,153.58753,0
1587.509422,925.027098,0
1954.418802,378.967479,0
2331.225795,545.201494,0
1905.806417,181.561002,0
2716.926474,174.391676,0
1451.287056,345.289101,0
2293.127247,981.189076,0
1022.706527,292.416925,0
1490.655987,724.380685,0
1290.686418,357.183597,0
2502.840234,591.341802,0
4720.371119,84.787098,0
1005.35394,563.725447,0
1778.305785,260.849131,0
702.972169,896.84288,0
4207.081872,1551.370727,0
2239.480035,226.955769,0
2069.442947,608.967256,0
1728.899,669.893989,0
1383.117299,696.53865,0
1234.269627,443.734143,0
599.38678,501.757963,0
343.362698,522.283694,0
1490.655987,724.380685,0
2939.661625,365.224278,0
1843.722696,458.509749,0
1270.536719,982.815621,0
2541.51676,260.919509,0
2462.443471,140.420204,0
2218.506296,107.090371,0
2104.766829,574.232965,0
803.872584,1050.238534,0
4204.276535,201.632449,0
1211.524864,541.5378,0
2993.842936,229.653847,0
1843.722696,458.509749,0
2095.254178,50.902543,0
2546.265304,431.342571,0
957.480511,297.688618,0
1761.526004,339.927432,0
2156.711926,399.983571,0
702.972169,896.84288,0
2939.661625,365.224278,0
860.210604,135.648181,0
1671.776909,856.445343,0
2939.661625,365.224278,0
1745.348394,151.786526,0
787.267296,438.761914,0
1490.655987,724.380685,0
2939.661625,365.224278,0
1651.11677,444.220413,0
3912.081289,521.38061,0
3122.805044,420.849655,0
4333.167746,1261.704342,0
765.838055,831.463581,0
1562.12785,168.698592,0
994.312444,317.297304,0
1938.923416,245.78883,0
2095.254178,50.902543,0
1259.99693,494.743763,0
3102.621459,319.942291,0
1443.490218,454.681321,0
3377.470293,64.651699,0
2939.661625,365.224278,0
2042.106552,476.810035,0
